epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.10910986008724773,281.85720705878464,240767658.76751983,253.23472595214844,2019040.875,1420.929581295287,144460595200.0,19.31049156188965,12.068406105041504
2,wape,0.09837151021885693,255.08592843650877,238454647.56645513,250.94393920898438,2038701.125,1427.8309161101674,143072788480.0,18.79636573791504,11.959234237670898
3,wape,0.09658360859953372,251.56353867609698,239486675.7230828,240.4761505126953,1847697.125,1359.3002335760852,143692005376.0,18.696094512939453,11.460371017456055
4,wape,0.09510512956999298,247.60639070209703,236216074.338547,246.95297241210938,1925464.5,1387.6110766349482,141729644544.0,18.976224899291992,11.769037246704102
5,wape,0.09457939887853493,246.1349726397292,234521204.14910278,238.33921813964844,1883902.0,1372.5530955121553,140712722432.0,18.333608627319336,11.35853099822998
6,wape,0.09402185482414145,245.56813219113457,247910591.24654648,249.89158630371094,2059044.625,1434.9371501916035,148746354688.0,18.854923248291016,11.909082412719727
7,wape,0.09342226569813893,243.78426050171817,241505266.44250038,238.61007690429688,1825188.625,1350.9954200514524,144903159808.0,18.63593292236328,11.371439933776855
8,wape,0.09267736170300864,240.92298857036388,236828207.88174924,235.2515411376953,1813049.25,1346.4951726612317,142096924672.0,18.56571388244629,11.211381912231445
9,wape,0.09231791454822497,240.1319284768929,239074618.1226479,237.32630920410156,1942601.625,1393.7724437654806,143444770816.0,18.27115249633789,11.310258865356445
10,wape,0.0924581536897143,240.0543304672815,238644811.1873243,231.49423217773438,1811312.125,1345.8499637775378,143186886656.0,18.27749252319336,11.032320022583008
11,wape,0.09192506613812053,239.1908752441406,236958515.29486108,236.5703887939453,1789542.0,1337.7376424396527,142175109120.0,18.42434310913086,11.2742338180542
12,wape,0.09190126100653097,238.92537596279516,236622752.52128765,235.66717529296875,1816868.0,1347.9124600655637,141973651456.0,18.230133056640625,11.231188774108887
13,wape,0.09079194008407736,236.9251763135867,232345327.0279076,237.300537109375,1724200.25,1313.0880587378747,139407196160.0,18.511878967285156,11.309030532836914
14,wape,0.09145593106522595,237.3106212988832,234500751.4567115,242.7360076904297,1944013.0,1394.2786665512745,140700450816.0,18.186866760253906,11.568068504333496
15,wape,0.09178897219717054,237.64795080199278,230331214.60174665,237.54689025878906,1865260.75,1365.7454923960026,138198728704.0,18.086992263793945,11.320771217346191
16,wape,0.09061843092952455,235.10041530293628,233525029.64106587,235.11257934570312,1774245.5,1332.008070546121,140115017728.0,18.362817764282227,11.204758644104004
17,wape,0.0905916722533398,235.69018648764245,235152151.9878393,234.0240936279297,1842020.875,1357.2106966127255,141091291136.0,18.192996978759766,11.152885437011719
18,wape,0.0899845523157514,233.23725825718472,233988369.16154206,234.29762268066406,1885491.5,1373.13200385105,140393021440.0,18.17456817626953,11.16592025756836
19,wape,0.09037111687256878,234.98125348772322,230401119.67145467,246.8271942138672,1969609.125,1403.4276344008622,138240671744.0,18.519166946411133,11.763042449951172
20,wape,0.09003909834121403,233.93193559001264,237675615.66931674,236.2449951171875,2029069.375,1424.4540620883497,142605369344.0,17.96019744873047,11.258726119995117
21,wape,0.09006945266759485,233.57121453536183,233840012.04018962,232.91371154785156,1810486.375,1345.543152410951,140304007168.0,17.86550521850586,11.099967002868652
22,wape,0.08994259743538117,233.89040233640742,220457274.12060145,236.899658203125,1692977.875,1301.1448324456428,132274364416.0,18.325366973876953,11.289926528930664
