epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.10308416793893155,269.83794203449906,242878518.7170829,253.7672119140625,2103414.5,1450.3153105445726,145727111168.0,20.598108291625977,12.093782424926758
2,wape,0.10070418760292513,264.1877770789584,249717364.15658364,252.28976440429688,2048669.875,1431.317531157919,149830418432.0,20.697845458984375,12.023372650146484
3,wape,0.0983819953817174,259.13075338951626,245751180.04838744,249.68051147460938,2034428.25,1426.333849419553,147450707968.0,20.09650993347168,11.899023056030273
4,wape,0.0965088678257806,254.7201201933667,245900383.67385986,245.34915161132812,2052846.375,1432.7757587982844,147540230144.0,19.70530891418457,11.69260311126709
5,wape,0.09462648695124719,250.3664875690202,242283943.3517603,242.15228271484375,2003408.75,1415.4182244128413,145370365952.0,18.985816955566406,11.540250778198242
6,wape,0.09233600999179639,244.5189384976724,246833616.31326115,242.9384002685547,2078433.5,1441.677321733265,148100169728.0,19.454824447631836,11.577713966369629
7,wape,0.09103521087339946,241.79531885591663,246203979.19062495,237.6405487060547,2017064.875,1420.2340916201103,147722387456.0,18.669370651245117,11.325235366821289
8,wape,0.08978234834800985,238.8870940014832,245871110.92409828,238.8942108154297,2018069.125,1420.5875984957775,147522666496.0,18.62908363342285,11.384980201721191
9,wape,0.08957155834799423,238.26393978721217,246457985.803745,238.09254455566406,2037443.75,1427.3905387104119,147874791424.0,18.401195526123047,11.34677505493164
10,wape,0.0891793519930732,236.58041801739455,244970810.12457725,236.58865356445312,2101807.0,1449.7610147882995,146982486016.0,18.739606857299805,11.275104522705078
11,wape,0.08840837992895814,235.6352147726188,245327462.49580404,235.4605255126953,1964665.125,1401.6651258414045,147196477440.0,18.23604393005371,11.221341133117676
12,wape,0.08818587365567236,234.2628630673975,246240652.0423629,234.97593688964844,1972907.0,1404.6020788821295,147744391168.0,18.17778778076172,11.198246955871582
13,wape,0.0876913771985617,233.48347296463817,245445727.6704888,235.85997009277344,2003194.5,1415.3425380451192,147267436544.0,18.823678970336914,11.240377426147461
14,wape,0.08737881088391282,232.2878971759538,242026141.1070837,232.69500732421875,1891840.5,1375.441928981373,145215684608.0,17.62125587463379,11.089545249938965
15,wape,0.08747083047839035,232.36808612794803,244831218.44109717,233.8614959716797,1888641.875,1374.2786744325185,146898731008.0,17.933807373046875,11.145136833190918
16,wape,0.08731271235790468,231.2208181625022,243741163.6143669,232.98117065429688,1934760.25,1390.95659529692,146244698112.0,17.75475311279297,11.103182792663574
17,wape,0.08692453054893286,231.87066074457383,242978952.62852243,232.2721710205078,1945560.625,1394.8335474170385,145787371520.0,18.26329231262207,11.0693941116333
