epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.10959849131286592,287.21426074953007,241264585.49223247,268.2673034667969,2136085.5,1461.5353228711238,144758751232.0,20.152755737304688,12.784812927246094
2,wape,0.10004062243646249,260.3366859608127,261492818.0240822,257.5892028808594,2257402.25,1502.4653906163696,156895690752.0,19.719764709472656,12.27592658996582
3,wape,0.0971149746636699,253.6828385776147,251568619.62040845,249.24314880371094,2076407.875,1440.9746267717555,150941171712.0,19.151840209960938,11.878179550170898
4,wape,0.09694796481302806,252.04440447585026,240128273.17132804,267.4772033691406,2130883.0,1459.7544314027616,144076963840.0,19.709672927856445,12.747159957885742
5,wape,0.09545023113040996,249.99257869863868,252258140.2609475,252.7074737548828,2076873.0,1441.136010236369,151354884096.0,19.14285659790039,12.043279647827148
6,wape,0.095822109539706,249.29884879893825,251748980.1522912,243.29823303222656,2057298.875,1434.3287192969399,151049388032.0,18.938495635986328,11.594862937927246
7,wape,0.09422766350041654,245.60916011494803,255508835.08869675,250.72384643554688,2251871.0,1500.6235370671752,153305300992.0,19.168140411376953,11.948744773864746
8,wape,0.09506722602405046,248.03977718496682,250906378.3393409,243.57427978515625,2212294.5,1487.3783983909407,150543826944.0,18.417844772338867,11.608017921447754
9,wape,0.0942757796300085,246.43768799287037,251876092.68835655,249.3131866455078,2321746.5,1523.727830027397,151125655552.0,18.780527114868164,11.88151741027832
10,wape,0.09353772231510707,244.7273531347289,251125978.55185947,242.8168182373047,2100545.5,1449.3258777790452,150675587072.0,18.521240234375,11.571920394897461
11,wape,0.09382319989285075,245.7339952511895,250498034.44469643,240.81529235839844,2050560.75,1431.9779153324955,150298820608.0,18.65021514892578,11.476532936096191
12,wape,0.0939382472768762,245.34218463180656,255842003.7281325,248.0823516845703,2354110.25,1534.3110017203162,153505202176.0,18.617340087890625,11.822858810424805
13,wape,0.0931542160479646,244.45885363127056,246577288.63106027,241.01449584960938,2072615.375,1439.6580757249271,147946373120.0,18.345144271850586,11.486026763916016
14,wape,0.09346385294557515,243.4815265856291,244581280.52383748,239.1792755126953,1996617.625,1413.017206193895,146748768256.0,18.548049926757812,11.398565292358398
15,wape,0.09410804867520368,245.15074153125735,239700896.52488723,245.40576171875,2044711.375,1429.934045681828,143820537856.0,18.354969024658203,11.695301055908203
16,wape,0.09327078841458586,242.7514611724624,250990537.48478663,241.60885620117188,2093495.75,1446.8917547626015,150594322432.0,18.42583465576172,11.514351844787598
17,wape,0.09331039398684537,243.56040690716048,241507205.22276047,257.0804748535156,2358524.25,1535.748758749295,144904323072.0,18.516633987426758,12.25168228149414
18,wape,0.09291954911068866,243.04015041724185,242560696.4173253,241.79440307617188,1954387.75,1397.9941881138134,145536417792.0,18.594690322875977,11.523194313049316
19,wape,0.09331296789915042,242.25592481570138,256668958.82327786,250.43353271484375,2432774.75,1559.7354743673684,154001375232.0,19.128665924072266,11.93490982055664
20,wape,0.09324058182257458,242.39337272930862,246635724.89705244,237.78952026367188,2007308.25,1416.7950628090148,147981434880.0,18.55825424194336,11.332334518432617
21,wape,0.092743512192615,241.83918383605499,247883421.11145616,238.435791015625,2189589.0,1479.7259881478058,148730052608.0,18.281627655029297,11.363133430480957
22,wape,0.09264965285932211,241.74393739628613,251494946.2354934,250.07540893554688,2442653.5,1562.899069038049,150896967680.0,18.44820213317871,11.917842864990234
23,wape,0.09294841495671667,241.9636871567346,247601670.92444074,238.6693878173828,2147332.25,1465.3778522961236,148561002496.0,18.2463436126709,11.374265670776367
24,wape,0.09212213114912349,240.44192752694724,242666700.89890277,247.52244567871094,2064677.75,1436.8986568300493,145600020480.0,18.46785545349121,11.79617691040039
25,wape,0.09252454282197738,240.50370134626115,244699054.17827234,241.65914916992188,2086496.5,1444.471010439462,146819432448.0,18.54544448852539,11.516749382019043
26,wape,0.09158249007804053,239.55305935278872,242992032.5245808,244.60130310058594,1976221.75,1405.7815441952566,145795219456.0,18.57520294189453,11.656963348388672
27,wape,0.09293207443298254,241.59088896557802,246031646.8176305,240.28102111816406,2077526.375,1441.3626798970479,147618988032.0,18.333984375,11.451071739196777
28,wape,0.09266099283345659,240.57762402986225,246827335.78062606,249.63992309570312,2244478.25,1498.158286029884,148096401408.0,18.462926864624023,11.897089004516602
29,wape,0.09183789668674756,240.56589068649407,243693923.08582512,243.79263305664062,2234748.75,1494.9076058405751,146216353792.0,18.184310913085938,11.618424415588379
30,wape,0.09193121314721,240.17829924848743,239316691.72526562,247.7593536376953,1980883.0,1407.4384533612829,143590014976.0,18.662647247314453,11.807466506958008
31,wape,0.09213261527002306,239.7506319662682,235873457.5929135,249.84486389160156,2043478.875,1429.5030167859038,141524074496.0,18.75345230102539,11.906855583190918
32,wape,0.09150826471640651,239.36392682297785,245999834.55552372,253.3587188720703,2345451.75,1531.4867776118735,147599900672.0,18.588172912597656,12.074316024780273
