epoch,training_objective,train_loss,train_mae,validation_overall_proxy,validation_mae,validation_mse,validation_rmse,validation_mape_pct,validation_smape_pct,validation_wape_pct
1,wape,0.10302404726582362,271.1326238417088,244286696.21054077,254.29270935058594,2170288.75,1473.1899911416722,146572017664.0,20.31044578552246,12.118826866149902
2,wape,0.1011787221844035,265.83262248792147,251133897.49185836,257.4320373535156,2294556.75,1514.7794393904348,150680338432.0,20.231063842773438,12.268437385559082
3,wape,0.0988146412193327,260.46702705325936,245159990.71394587,247.13783264160156,2144188.0,1464.304613118459,147095994368.0,19.15688133239746,11.777846336364746
4,wape,0.09638384042825913,254.6777296137989,247838146.6596801,243.09629821777344,2115976.0,1454.6394742340797,148702887936.0,19.11457061767578,11.58523941040039
5,wape,0.09495978632143566,250.85348643826362,249577199.03283367,242.64793395996094,2129557.0,1459.3001747413039,149746319360.0,18.985864639282227,11.563871383666992
6,wape,0.0933623198167722,248.34149616212773,246122578.02010742,242.87973022460938,2200041.75,1483.2537712744909,147673546752.0,19.00050926208496,11.574917793273926
7,wape,0.09318190509439411,246.92618854494023,244835887.8854097,240.70472717285156,2140837.0,1463.1599365756294,146901532672.0,18.664003372192383,11.471263885498047
8,wape,0.09247346585406396,245.78098556403828,246481414.92447698,239.7142791748047,2110708.5,1452.827759922008,147888848896.0,18.339719772338867,11.424062728881836
9,wape,0.09126495375557053,244.16590544048108,246448701.53843632,239.33106994628906,2178887.0,1476.105348543931,147869220864.0,18.433917999267578,11.405799865722656
10,wape,0.09164308954338382,243.11626637394266,244180527.88412213,238.83889770507812,2134124.75,1460.8643845340334,146508316672.0,18.10064697265625,11.382344245910645
11,wape,0.09117426459950612,242.34481358348876,245253980.25750306,238.02737426757812,2124990.75,1457.7348009840473,147152388096.0,18.24924087524414,11.343669891357422
12,wape,0.09088546822505786,242.61511154748445,243003938.22860423,235.18475341796875,2071239.375,1439.180105129306,145802362880.0,17.433671951293945,11.208198547363281
13,wape,0.0910416028441343,241.82761139833838,245727778.23203334,239.6901092529297,2181573.5,1477.015064242745,147436666880.0,18.545480728149414,11.422910690307617
14,wape,0.09066932713402841,241.6642261132262,245692716.46904647,235.38987731933594,2111119.0,1452.9690292638725,147415629824.0,17.4917049407959,11.217974662780762
15,wape,0.0905997387056512,240.24405438415985,242651818.7631221,237.83006286621094,2166970.5,1472.0633478216894,145591091200.0,17.443782806396484,11.33426570892334
16,wape,0.09030398551122587,239.7482006904774,245201169.16351423,237.18157958984375,2161540.25,1470.2177559803854,147120701440.0,17.766103744506836,11.303361892700195
17,wape,0.09016661959931366,239.15024228203566,245242156.47019836,237.16822814941406,2215655.25,1488.5077258785054,147145293824.0,17.527448654174805,11.302724838256836
18,wape,0.08988160685937208,239.39463162529736,243762462.81457612,233.05409240722656,2047219.75,1430.8108714990951,146257477632.0,17.333646774291992,11.106657981872559
19,wape,0.08994751631989514,238.79808398942302,248492523.6183518,238.71253967285156,2230560.0,1493.505942405319,149095514112.0,18.2037410736084,11.376321792602539
20,wape,0.08927059601572224,238.0359830583845,248413498.1252809,240.0143585205078,2273144.75,1507.6951780781153,149048098816.0,18.04220199584961,11.438363075256348
21,wape,0.08885626051771013,237.47094024428748,245770103.56144592,233.86439514160156,2075543.125,1440.674538193828,147462062080.0,17.244190216064453,11.14527416229248
22,wape,0.08921843726271973,237.57579779373972,247171509.00434542,237.14224243164062,2218855.5,1489.5823240089821,148302905344.0,18.003406524658203,11.30148696899414
23,wape,0.08887996726242223,237.5387198311942,247328140.044096,237.5342254638672,2177554.25,1475.6538381341336,148396883968.0,18.007190704345703,11.320167541503906
24,wape,0.08912536087901073,237.84695392121048,245348297.48241577,235.73251342773438,2153548.25,1467.4972742734483,147208978432.0,17.28232765197754,11.23430347442627
25,wape,0.0887471591115446,237.28867147345292,247331198.38865414,234.61024475097656,2103960.5,1450.5035332600883,148398718976.0,17.36418914794922,11.180819511413574
26,wape,0.08903833319594089,236.3609826109463,246860704.52413213,236.83285522460938,2237664.5,1495.8825154403003,148116422656.0,17.818506240844727,11.286742210388184
27,wape,0.08880934559537056,236.47906725890655,248249330.44207218,235.54940795898438,2112146.0,1453.3224005704997,148949598208.0,17.287118911743164,11.225576400756836
28,wape,0.08855006215827806,235.65938951305878,245248054.7133495,240.9364776611328,2388162.75,1545.3681600188352,147148832768.0,18.275819778442383,11.482308387756348
29,wape,0.08857600763440132,236.22917612405647,245900110.6010286,233.6621856689453,2059638.5,1435.144069422997,147540066304.0,17.08831214904785,11.135637283325195
30,wape,0.08858211422549155,235.7918547092524,247417787.83004215,235.6297607421875,2179232.5,1476.222374847367,148450672640.0,17.748632431030273,11.229406356811523
